item_id,order_id,product_id,qty,unit_price,warranty_expires_at,return_deadline,item_status
1,1,5146,3,166425.00,2025-12-03,,active
2,1,5186,3,892248.00,2025-12-03,2025-07-03,active
3,1,5030,2,275083.00,2028-06-03,2025-07-03,active
4,1,5061,3,6481556.00,2027-06-03,2025-07-03,active
5,1,5171,3,6516599.00,2026-06-03,2025-08-02,active
6,2,5133,2,583086.00,,,active
7,2,5122,3,1891359.00,,,active
8,2,5027,3,135104.00,,,active
9,3,5148,3,382097.00,2026-06-22,2026-02-20,active
10,4,5055,2,462117.00,,,active
11,4,5072,2,934784.00,,,active
12,4,5200,3,846106.00,,,active
13,5,5142,1,202937.00,2027-12-04,,returned
14,5,5103,3,10598.00,2027-06-04,2026-02-02,active
15,5,5028,2,331744.00,2026-06-04,,active
16,6,5119,3,185159.00,,,active
17,7,5008,2,2902810.00,2026-06-25,2025-08-24,active
18,7,5145,3,793475.00,2027-06-25,,active
19,7,5136,2,534407.00,2025-12-25,,active
20,8,5186,1,892248.00,2026-06-08,2026-01-07,active
21,8,5150,3,995758.00,2026-06-08,2026-01-07,active
22,9,5116,1,6509135.00,2027-05-20,2025-12-20,active
23,9,5155,1,91862.00,2028-11-20,2025-12-20,active
24,9,5193,2,335487.00,2026-11-20,,active
25,10,5168,2,5325990.00,2027-03-29,,active
26,10,5019,1,1880105.00,2026-09-29,2025-10-29,active
27,10,5081,2,591287.00,2028-09-29,,active
28,11,5081,1,591287.00,2028-09-19,,active
29,11,5100,2,80735.00,2028-09-19,,returned
30,11,5016,3,358419.00,2026-03-19,,active
31,11,5126,2,357192.00,2026-03-19,,active
32,12,5120,1,1814519.00,2027-11-12,2026-01-11,active
33,12,5191,1,535679.00,2026-11-12,,active
34,13,5135,1,173536.00,,,active
35,13,5016,3,358419.00,,,active
36,14,5156,2,122240.00,2026-01-20,,active
37,14,5136,1,534407.00,2026-01-20,,active
38,14,5194,1,910549.00,2026-01-20,,active
39,14,5165,3,447081.00,2026-07-20,2025-09-18,active
40,15,5156,1,122240.00,2025-09-13,,active
41,15,5072,3,934784.00,2026-03-13,2025-05-12,active
42,15,5086,3,396898.00,2025-09-13,2025-04-12,active
43,16,5019,1,1880105.00,2026-04-18,2025-05-18,active
44,16,5103,3,10598.00,2026-10-18,2025-06-17,active
45,16,5084,1,941700.00,2025-10-18,2025-06-17,active
46,17,5190,2,217636.00,2025-12-20,,active
47,17,5141,1,381230.00,2026-06-20,2025-08-19,active
48,17,5114,1,1507048.00,2026-06-20,2025-08-19,active
49,18,5091,3,177619.00,2028-05-10,2025-07-09,active
50,18,5194,2,910549.00,2025-11-10,,active
51,18,5116,3,6509135.00,2026-11-10,2025-06-09,active
52,18,5093,3,403580.00,2028-05-10,2025-06-09,active
53,18,5028,3,331744.00,2025-11-10,,active
54,19,5200,1,846106.00,2027-04-12,,active
55,19,5052,2,170294.00,2026-10-12,2025-06-11,active
56,19,5153,1,293443.00,2026-04-12,,active
57,19,5004,2,1479197.00,2028-04-12,2025-06-11,active
58,19,5028,1,331744.00,2025-10-12,,active
59,20,5069,2,1609377.00,2028-07-21,,active
60,20,5134,2,780615.00,2028-07-21,2025-08-20,active
61,20,5054,3,281456.00,2026-07-21,2025-08-20,active
62,21,5173,1,2890359.00,2026-08-03,,active
63,22,5190,1,217636.00,2026-07-23,,refunded
64,22,5162,3,193787.00,2027-01-23,2026-03-24,active
65,23,5012,2,1932806.00,2026-09-02,2025-11-01,active
66,23,5135,3,173536.00,2028-09-02,2025-10-02,active
67,23,5003,3,5321008.00,2026-09-02,,active
68,23,5016,3,358419.00,2026-03-02,,active
69,23,5028,2,331744.00,2026-03-02,,refunded
70,24,5048,1,5504.00,2028-03-19,2025-05-18,active
71,25,5090,2,846449.00,,,active
72,25,5070,2,314573.00,,,active
73,25,5197,3,236350.00,,,active
74,25,5023,3,597469.00,,,active
75,25,5133,3,583086.00,,,active
76,26,5088,1,1323601.00,2028-07-21,,active
77,26,5038,1,439435.00,2028-07-21,2025-09-19,active
78,27,5168,2,5325990.00,2026-10-16,,active
79,28,5119,2,185159.00,,,active
80,29,5187,1,361647.00,2028-12-26,2026-02-24,active
81,29,5138,2,337965.00,2026-06-26,2026-01-25,active
82,30,5026,1,582248.00,2025-12-01,,active
83,30,5127,1,919575.00,2028-06-01,2025-07-31,active
84,30,5194,1,910549.00,2025-12-01,,active
85,30,5178,3,734293.00,2026-06-01,2025-07-01,active
86,30,5049,1,666254.00,2026-12-01,2025-07-31,returned
87,31,5100,3,80735.00,,,active
88,31,5024,2,784960.00,,,active
89,31,5197,1,236350.00,,,active
90,31,5169,1,1481280.00,,,active
91,31,5007,2,1088354.00,,,active
92,32,5192,1,175222.00,,,active
93,32,5135,3,173536.00,,,active
94,33,5107,3,207259.00,2026-12-27,2025-07-27,active
95,33,5182,1,886876.00,2026-12-27,2025-07-27,refunded
96,34,5200,2,846106.00,2027-12-22,,active
97,34,5192,1,175222.00,2026-06-22,,active
98,35,5085,3,290310.00,,,active
99,35,5011,2,2527350.00,,,active
100,35,5170,2,2193048.00,,,active
101,35,5146,1,166425.00,,,active
102,35,5093,3,403580.00,,,active
103,36,5124,3,1613336.00,2027-02-01,2026-03-03,replaced
104,36,5109,3,234582.00,2028-02-01,2026-03-03,active
105,36,5178,2,734293.00,2027-02-01,2026-03-03,active
106,36,5102,2,114914.00,2027-08-01,,active
107,36,5067,3,1917652.00,2029-02-01,,active
108,37,5157,2,123811.00,2026-05-14,2025-12-14,refunded
109,37,5139,3,897966.00,2027-05-14,2025-12-14,returned
110,38,5155,2,91862.00,2028-11-19,2025-12-19,active
111,38,5149,1,1996121.00,2028-11-19,,active
112,38,5068,2,716823.00,2027-11-19,2025-12-19,active
113,39,5169,1,1481280.00,2026-11-19,,returned
114,39,5128,2,741215.00,2026-11-19,2025-07-18,active
115,40,5106,2,886910.00,2028-06-15,2025-07-15,active
116,40,5100,2,80735.00,2028-06-15,,active
117,40,5005,1,2181427.00,2026-06-15,2025-07-15,active
118,40,5108,2,93371.00,2026-12-15,2025-07-15,active
119,40,5098,2,235159.00,2025-12-15,,active
120,41,5109,3,234582.00,2027-05-02,2025-06-01,active
121,41,5011,1,2527350.00,2027-05-02,2025-06-01,active
122,41,5039,2,2042213.00,2028-05-02,2025-06-01,replaced
123,41,5127,2,919575.00,2028-05-02,2025-07-01,active
124,41,5159,2,635640.00,2027-05-02,2025-06-01,active
125,42,5199,1,1886371.00,2026-05-02,2025-12-02,active
126,42,5082,1,125020.00,2027-11-02,,active
127,43,5168,2,5325990.00,,,active
128,43,5186,1,892248.00,,,active
129,43,5135,1,173536.00,,,active
130,44,5042,2,408178.00,2026-04-30,2025-11-30,active
131,44,5074,3,1919976.00,2028-10-31,2025-12-30,active
132,44,5131,1,898570.00,2028-10-31,2025-11-30,refunded
133,45,5154,1,429259.00,2026-10-20,2025-05-20,active
134,45,5175,2,1821611.00,2026-10-20,,active
135,45,5060,3,2204111.00,2027-04-20,2025-05-20,active
136,46,5073,1,721104.00,2026-10-17,2025-12-16,active
137,47,5059,3,1525647.00,2027-02-24,2025-04-25,active
138,47,5173,3,2890359.00,2025-08-24,,replaced
139,47,5155,3,91862.00,2028-02-24,2025-03-26,replaced
140,48,5020,3,1319054.00,2026-02-28,2025-10-30,active
141,48,5109,2,234582.00,2027-08-31,2025-09-30,active
142,48,5149,3,1996121.00,2028-08-31,,returned
143,49,5110,3,449762.00,2027-07-17,2025-08-16,active
144,49,5027,2,135104.00,2028-07-17,2025-09-15,active
145,50,5011,3,2527350.00,2027-06-13,2025-07-13,refunded
146,50,5086,3,396898.00,2025-12-13,2025-07-13,active
147,51,5026,2,582248.00,,,active
148,51,5125,2,286557.00,,,active
149,51,5141,1,381230.00,,,active
150,51,5029,3,900141.00,,,active
151,52,5048,3,5504.00,2028-11-02,2026-01-01,active
152,52,5166,3,5546284.00,2028-11-02,,active
153,52,5176,1,2536646.00,2027-11-02,2026-01-01,active
154,52,5047,3,98913.00,2026-11-02,2026-01-01,active
155,52,5056,1,5518992.00,2026-05-02,2026-01-01,active
156,53,5119,3,185159.00,2026-05-15,2025-06-14,replaced
157,53,5147,2,185633.00,2026-11-15,2025-06-14,active
158,53,5041,1,682706.00,2026-05-15,,active
159,53,5088,2,1323601.00,2028-05-15,,active
160,54,5200,3,846106.00,2027-08-06,,active
161,54,5008,3,2902810.00,2026-08-06,2025-10-05,active
162,54,5197,2,236350.00,2027-02-06,2025-09-05,active
163,54,5170,1,2193048.00,2028-08-06,,active
164,55,5111,3,5547319.00,2027-04-18,,active
