order_id,customer_id,address_id,order_date,payment_confirmed_at,shipped_at,delivered_at,cancelled_at,status,subtotal,shipping_cost,tax,total_amount,delivery_method,payment_method,card_id,customer_notes,internal_notes,cancellation_reason
1,1061,72,2025-05-30 00:00:00,2025-05-30 01:00:00,2025-06-01 04:00:00,2025-06-03 04:00:00,,delivered,42720650.00,10000.00,8116923.50,50847573.50,home_delivery,PSE,,,,
2,1435,480,2025-05-26 00:00:00,2025-05-26 16:00:00,,,2025-05-27 18:00:00,cancelled,7245561.00,25000.00,1376656.59,8647217.59,pickup_point,tarjeta_debito,336,,,Cliente solicitó cancelación por viaje
3,1393,437,2025-12-15 00:00:00,2025-12-15 16:00:00,2025-12-18 12:00:00,2025-12-22 12:00:00,,delivered,1146291.00,10000.00,217795.29,1374086.29,home_delivery,tarjeta_debito,132,,,
4,1412,457,2025-05-27 00:00:00,2025-05-27 11:00:00,,,2025-05-28 17:00:00,cancelled,5332120.00,8000.00,1013102.80,6353222.80,pickup_point,PSE,,Prefiero entrega en la tarde después de las 2pm,,Error al realizar el pedido
5,1482,530,2025-11-23 00:00:00,2025-11-23 15:00:00,2025-11-25 16:00:00,2025-12-04 16:00:00,,delivered,898219.00,8000.00,170661.61,1076880.61,home_delivery,tarjeta_credito,546,,,
6,1491,540,2025-11-16 00:00:00,2025-11-16 17:00:00,,,2025-11-17 20:00:00,cancelled,555477.00,18000.00,105540.63,679017.63,home_delivery,contraentrega,,Dejar con el portero si no estoy,,Encontró mejor precio en otra tienda
7,1027,32,2025-06-20 00:00:00,2025-06-20 19:00:00,2025-06-22 22:00:00,2025-06-25 22:00:00,,delivered,9254859.00,15000.00,1758423.21,11028282.21,home_delivery,tarjeta_credito,486,,,
8,1450,496,2025-11-27 00:00:00,2025-11-27 09:00:00,2025-11-29 00:00:00,2025-12-08 00:00:00,,delivered,3879522.00,15000.00,737109.18,4631631.18,home_delivery,nequi,,,,
9,1048,58,2025-11-17 00:00:00,2025-11-17 18:00:00,2025-11-18 19:00:00,2025-11-20 19:00:00,,delivered,7271971.00,0.00,1381674.49,8653645.49,home_delivery,PSE,,,,
10,1055,66,2025-09-27 00:00:00,2025-09-27 09:00:00,2025-09-28 23:00:00,2025-09-29 23:00:00,,delivered,13714659.00,25000.00,2605785.21,16345444.21,home_delivery,tarjeta_debito,331,,,
