shipment_id,order_id,item_id,carrier,tracking_number,tracking_url,shipped_date,estimated_delivery_date,actual_delivery_date,delivery_attempts,last_attempt_date,failed_delivery_reason,shipment_status
1,1,,Interrapidísimo,INT-47696-69958,https://www.interrapidisimo.com/rastreo/INT-47696-69958,2025-06-01 04:00:00,2025-06-11,2025-06-03,1,2025-06-11 04:00:00,,delivered
2,3,,Interrapidísimo,INT-11215-14339,https://www.interrapidisimo.com/rastreo/INT-11215-14339,2025-12-18 12:00:00,2025-12-24,2025-12-22,1,2025-12-23 12:00:00,,delivered
3,5,,TCC,TCC-74485-27676,https://www.tcc.com.co/rastreo/TCC-74485-27676,2025-11-25 16:00:00,2025-12-05,2025-12-04,1,2025-12-03 16:00:00,,delivered
4,7,,TCC,TCC-16316-69221,https://www.tcc.com.co/rastreo/TCC-16316-69221,2025-06-22 22:00:00,2025-07-02,2025-06-25,2,2025-06-26 22:00:00,Zona de difícil acceso,delivered
5,8,20,TCC,TCC-78773-45891,https://www.tcc.com.co/rastreo/TCC-78773-45891,2025-11-29 00:00:00,2025-12-07,2025-12-08,2,2025-12-03 00:00:00,Dirección incorrecta o inexistente,delivered
6,9,,Envía,ENV-17920-56694,https://www.envia.co/rastreo/ENV-17920-56694,2025-11-18 19:00:00,2025-11-28,2025-11-20,1,2025-11-21 19:00:00,,delivered
7,10,,TCC,TCC-70643-65852,https://www.tcc.com.co/rastreo/TCC-70643-65852,2025-09-28 23:00:00,2025-10-08,2025-09-29,3,2025-09-30 23:00:00,Edificio cerrado / sin acceso,delivered
8,11,,Envía,ENV-49615-13774,https://www.envia.co/rastreo/ENV-49615-13774,2025-09-12 23:00:00,2025-09-22,2025-09-19,1,2025-09-15 23:00:00,,delivered
9,12,,Interrapidísimo,INT-54657-92969,https://www.interrapidisimo.com/rastreo/INT-54657-92969,2025-11-07 01:00:00,2025-11-10,2025-11-12,1,2025-11-10 01:00:00,,delivered
10,14,36,TCC,TCC-77711-94416,https://www.tcc.com.co/rastreo/TCC-77711-94416,2025-07-13 01:00:00,2025-07-23,2025-07-20,1,2025-07-22 01:00:00,,delivered
11,15,,TCC,TCC-28972-31487,https://www.tcc.com.co/rastreo/TCC-28972-31487,2025-03-04 16:00:00,2025-03-13,2025-03-13,1,2025-03-06 16:00:00,,delivered
12,16,,Interrapidísimo,INT-44773-96783,https://www.interrapidisimo.com/rastreo/INT-44773-96783,2025-04-06 10:00:00,2025-04-16,2025-04-18,1,2025-04-12 10:00:00,,delivered
13,17,,Coordinadora,COO-83570-26152,https://www.coordinadora.com/rastreo/COO-83570-26152,2025-06-15 02:00:00,2025-06-19,2025-06-20,1,2025-06-19 02:00:00,,delivered
14,18,,Interrapidísimo,INT-12331-37423,https://www.interrapidisimo.com/rastreo/INT-12331-37423,2025-05-03 02:00:00,2025-05-13,2025-05-10,2,2025-05-12 02:00:00,Cliente rechazó el paquete,delivered
15,19,,Interrapidísimo,INT-74004-52864,https://www.interrapidisimo.com/rastreo/INT-74004-52864,2025-04-03 09:00:00,2025-04-11,2025-04-12,2,2025-04-04 09:00:00,Edificio cerrado / sin acceso,delivered
16,20,,Interrapidísimo,INT-33745-20232,https://www.interrapidisimo.com/rastreo/INT-33745-20232,2025-07-19 09:00:00,2025-07-28,2025-07-21,3,2025-07-22 09:00:00,Cliente solicitó reprogramación,delivered
17,21,,Envía,ENV-80660-34779,https://www.envia.co/rastreo/ENV-80660-34779,2026-01-25 11:00:00,2026-02-04,2026-02-03,1,2026-02-03 11:00:00,,delivered
18,22,,TCC,TCC-57730-81138,https://www.tcc.com.co/rastreo/TCC-57730-81138,2026-01-20 02:00:00,2026-01-24,2026-01-23,1,2026-01-24 02:00:00,,delivered
19,23,,Deprisa,DEP-22027-37663,https://www.deprisa.com/rastreo/DEP-22027-37663,2025-08-22 18:00:00,2025-09-01,2025-09-02,1,2025-08-24 18:00:00,,delivered
20,24,,Servientrega,SER-28873-83354,https://www.servientrega.com/rastreo/SER-28873-83354,2025-03-16 00:00:00,2025-03-25,2025-03-19,1,2025-03-22 00:00:00,,delivered
21,26,,TCC,TCC-50975-64901,https://www.tcc.com.co/rastreo/TCC-50975-64901,2025-07-20 22:00:00,2025-07-27,2025-07-21,1,2025-07-22 22:00:00,,delivered
22,27,,TCC,TCC-58298-38416,https://www.tcc.com.co/rastreo/TCC-58298-38416,2025-04-10 19:00:00,2025-04-15,2025-04-16,1,2025-04-15 19:00:00,,delivered
23,28,,Deprisa,DEP-82050-97426,https://www.deprisa.com/rastreo/DEP-82050-97426,2026-02-05 03:00:00,2026-02-09,,0,,,in_transit
24,29,80,Coordinadora,COO-80354-61508,https://www.coordinadora.com/rastreo/COO-80354-61508,2025-12-21 19:00:00,2025-12-31,2025-12-26,1,2025-12-25 19:00:00,,delivered
25,30,,Coordinadora,COO-10197-59747,https://www.coordinadora.com/rastreo/COO-10197-59747,2025-05-24 19:00:00,2025-06-02,2025-06-01,1,2025-06-01 19:00:00,,delivered
26,33,,TCC,TCC-81816-14015,https://www.tcc.com.co/rastreo/TCC-81816-14015,2025-06-25 03:00:00,2025-07-02,2025-06-27,1,2025-07-01 03:00:00,,delivered
27,34,,Deprisa,DEP-97836-86082,https://www.deprisa.com/rastreo/DEP-97836-86082,2025-12-18 19:00:00,2025-12-22,2025-12-22,1,2025-12-22 19:00:00,,delivered
28,36,,Servientrega,SER-18692-54794,https://www.servientrega.com/rastreo/SER-18692-54794,2026-01-24 09:00:00,2026-02-01,2026-02-01,1,2026-02-01 09:00:00,,delivered
29,37,,Deprisa,DEP-72334-56078,https://www.deprisa.com/rastreo/DEP-72334-56078,2025-11-06 21:00:00,2025-11-14,2025-11-14,1,2025-11-07 21:00:00,,delivered
30,38,,Interrapidísimo,INT-14463-82812,https://www.interrapidisimo.com/rastreo/INT-14463-82812,2025-11-12 14:00:00,2025-11-20,2025-11-19,1,2025-11-20 14:00:00,,delivered
31,39,,Envía,ENV-23959-58841,https://www.envia.co/rastreo/ENV-23959-58841,2025-05-18 23:00:00,2025-05-25,2025-05-19,2,2025-05-22 23:00:00,Cliente solicitó reprogramación,delivered
32,40,,Servientrega,SER-64836-40065,https://www.servientrega.com/rastreo/SER-64836-40065,2025-06-14 08:00:00,2025-06-20,2025-06-15,1,2025-06-15 08:00:00,,delivered
33,41,,Deprisa,DEP-35125-45355,https://www.deprisa.com/rastreo/DEP-35125-45355,2025-04-27 16:00:00,2025-05-05,2025-05-02,3,2025-05-05 16:00:00,Horario de entrega no compatible,delivered
34,42,,Interrapidísimo,INT-28046-32387,https://www.interrapidisimo.com/rastreo/INT-28046-32387,2025-11-01 21:00:00,2025-11-10,2025-11-02,1,2025-11-10 21:00:00,,delivered
35,44,,Coordinadora,COO-13634-92064,https://www.coordinadora.com/rastreo/COO-13634-92064,2025-10-23 06:00:00,2025-11-02,2025-10-31,2,2025-10-25 06:00:00,Cliente rechazó el paquete,delivered
36,45,,Envía,ENV-88433-15179,https://www.envia.co/rastreo/ENV-88433-15179,2025-04-19 14:00:00,2025-04-29,2025-04-20,1,2025-04-27 14:00:00,,delivered
37,46,,Deprisa,DEP-47506-65393,https://www.deprisa.com/rastreo/DEP-47506-65393,2025-10-06 00:00:00,2025-10-16,2025-10-17,2,2025-10-15 00:00:00,Zona de difícil acceso,delivered
38,47,,Servientrega,SER-45931-48033,https://www.servientrega.com/rastreo/SER-45931-48033,2025-02-12 02:00:00,2025-02-22,2025-02-24,2,2025-02-13 02:00:00,Cliente rechazó el paquete,returned_to_sender
39,48,,Deprisa,DEP-77867-19747,https://www.deprisa.com/rastreo/DEP-77867-19747,2025-08-30 04:00:00,2025-09-07,2025-08-31,2,2025-09-02 04:00:00,Cliente rechazó el paquete,delivered
40,49,143,Coordinadora,COO-87904-30428,https://www.coordinadora.com/rastreo/COO-87904-30428,2025-07-16 23:00:00,2025-07-25,2025-07-17,1,2025-07-20 23:00:00,,delivered
41,50,,Interrapidísimo,INT-10735-92558,https://www.interrapidisimo.com/rastreo/INT-10735-92558,2025-06-09 01:00:00,2025-06-14,2025-06-13,1,2025-06-10 01:00:00,,delivered
42,52,,TCC,TCC-51166-17409,https://www.tcc.com.co/rastreo/TCC-51166-17409,2025-10-31 17:00:00,2025-11-09,2025-11-02,1,2025-11-04 17:00:00,,delivered
43,53,156,Coordinadora,COO-92750-30284,https://www.coordinadora.com/rastreo/COO-92750-30284,2025-05-04 12:00:00,2025-05-14,2025-05-15,1,2025-05-09 12:00:00,,delivered
44,54,,Envía,ENV-67289-35505,https://www.envia.co/rastreo/ENV-67289-35505,2025-07-27 15:00:00,2025-08-06,2025-08-06,3,2025-08-04 15:00:00,Horario de entrega no compatible,delivered
